name,limit_mib,mode,c,rate,users,dur,seed,peak_mib,heap_max_mib,alloc_max_mib,phys_max_mib,cx_max,rq_max,stop_accepting_max,shrink_heap_max,heap_pressure_max,oom_kills,envoy_exit,rq_total,rq_4xx,rq_5xx,rate_limited,upstream_timeouts,signups_ok,signup_fail,signup_rps,signup_p50_ms,signup_p95_ms,signup_p99_ms,signup_max_ms,kratos_peak_mib
env_128_c16_r0,128,closed,16,,,60,2900,16.14,12.0,6.76,14.93,16.0,16.0,0.0,0.0,7.0,0,,676.0,0,0,0,0.0,325,0,5.51,2400.0,5700.0,7400.0,9310.63,1419.23
env_128_c16_r1,128,closed,16,,,60,2901,16.13,12.0,6.78,14.93,16.0,16.0,0.0,0.0,7.0,0,,653.0,0,0,0,0.0,316,0,5.35,2400.0,6000.0,6300.0,8385.01,1426.54
env_128_c16_r2,128,closed,16,,,60,2902,16.14,12.0,6.78,14.93,16.0,16.0,0.0,0.0,7.0,0,,655.0,0,0,0,0.0,315,0,5.34,2400.0,5600.0,6100.0,7736.57,1424.46
env_128_c32_r0,128,closed,32,,,60,2900,17.39,12.0,7.58,14.93,32.0,32.0,0.0,0.0,8.0,0,,286.0,0,0,0,0.0,127,0,2.26,13000.0,15000.0,17000.0,19424.98,2166.67
env_128_c32_r1,128,closed,32,,,60,2901,17.12,12.0,7.62,14.93,32.0,32.0,0.0,0.0,8.0,0,,282.0,0,0,0,0.0,125,0,2.13,13000.0,18000.0,19000.0,20316.31,2080.02
env_128_c32_r2,128,closed,32,,,60,2902,17.13,12.0,7.59,14.93,32.0,32.0,0.0,0.0,8.0,0,,286.0,0,0,0,0.0,127,0,2.18,13000.0,16000.0,17000.0,19296.33,2164.65
env_128_c4_r0,128,closed,4,,,60,2900,15.64,12.0,6.13,14.93,4.0,4.0,0.0,0.0,7.0,0,,684.0,0,0,0,0.0,333,0,5.65,600.0,1200.0,1600.0,1676.65,728.06
env_128_c4_r1,128,closed,4,,,60,2901,15.39,12.0,6.15,14.93,4.0,4.0,0.0,0.0,7.0,0,,696.0,0,0,0,0.0,341,0,5.77,600.0,1100.0,1500.0,1651.97,738.14
env_128_c4_r2,128,closed,4,,,60,2902,15.39,12.0,6.15,14.93,4.0,4.0,0.0,0.0,7.0,0,,658.0,0,0,0,0.0,321,0,5.45,630.0,1300.0,1500.0,1613.78,709.65
env_128_c64_r0,128,closed,64,,,60,2900,19.38,16.0,9.18,18.93,64.0,64.0,0.0,0.0,10.0,0,,308.0,0,0,0,0.0,125,1,2.17,26000.0,29000.0,31000.0,31255.35,4140.62
env_128_c64_r1,128,closed,64,,,60,2901,19.14,16.0,9.17,18.93,64.0,64.0,0.0,0.0,10.0,0,,233.0,0,0,0,0.0,63,4,1.14,31000.0,36000.0,44000.0,43719.07,3708.86
env_128_c64_r2,128,closed,64,,,60,2902,19.14,16.0,9.24,18.93,64.0,64.0,0.0,0.0,10.0,0,,314.0,0,0,0,0.0,126,0,2.16,28000.0,32000.0,32000.0,32026.45,4078.07
env_128_c8_r0,128,closed,8,,,60,2900,15.64,12.0,6.35,14.93,8.0,8.0,0.0,0.0,7.0,0,,641.0,0,0,0,0.0,309,0,5.24,1300.0,2700.0,3300.0,5060.54,1241.11
env_128_c8_r1,128,closed,8,,,60,2901,15.64,12.0,6.35,14.93,8.0,8.0,0.0,0.0,7.0,0,,663.0,0,0,0,0.0,322,0,5.45,1200.0,2600.0,3000.0,3263.71,1285.73
env_128_c8_r2,128,closed,8,,,60,2902,15.64,12.0,6.37,14.93,8.0,8.0,0.0,0.0,7.0,0,,644.0,0,0,0,0.0,313,0,5.31,1300.0,2600.0,3100.0,3229.97,1271.62
env_128_open75_r0,128,open,,75,100,60,2900,21.14,16.0,11.02,18.93,100.0,100.0,0.0,0.0,12.0,0,,268.0,0,0,0,89.0,1,89,1.53,45000.0,45000.0,45000.0,45014.14,5228.43
env_128_open75_r1,128,open,,75,100,60,2901,21.13,16.0,11.0,18.93,100.0,100.0,0.0,0.0,12.0,0,,286.0,0,0,0,100.0,0,100,1.72,45000.0,45000.0,45000.0,45014.32,5920.05
env_128_open75_r2,128,open,,75,100,60,2902,21.14,16.0,11.01,18.93,100.0,100.0,0.0,0.0,12.0,0,,283.0,0,0,0,96.0,3,96,1.68,45000.0,45000.0,45000.0,45014.96,5721.58
env_128_open75rl_r0,128,open,,75,100,60,2900,21.38,16.0,11.16,18.93,100.0,100.0,0.0,0.0,12.0,0,,950.0,0,0,347.0,25.0,69,371,7.51,3.0,45000.0,45000.0,45025.14,3038.27
env_128_open75rl_r1,128,open,,75,100,60,2901,21.63,16.0,11.21,18.93,100.0,100.0,0.0,0.0,12.0,0,,874.0,0,0,322.0,25.0,41,352,6.66,3.0,45000.0,45000.0,45013.2,3676.41
env_128_open75rl_r2,128,open,,75,100,60,2902,21.62,16.0,11.2,18.93,100.0,100.0,0.0,0.0,12.0,0,,959.0,0,0,351.0,30.0,63,383,7.54,4.0,45000.0,45000.0,45016.46,2630.73
env_64_c16_r0,64,closed,16,,,60,2900,16.14,12.0,6.81,14.93,16.0,16.0,0.0,0.0,15.0,0,,655.0,0,0,0,0.0,319,0,5.41,2400.0,5600.0,6400.0,7058.09,1431.93
env_64_c16_r1,64,closed,16,,,60,2901,16.39,12.0,6.75,14.93,16.0,16.0,0.0,0.0,15.0,0,,697.0,0,0,0,0.0,333,0,5.64,2300.0,5500.0,6100.0,6924.84,1416.82
env_64_c16_r2,64,closed,16,,,60,2902,16.38,12.0,6.78,14.93,16.0,16.0,0.0,0.0,15.0,0,,665.0,0,0,0,0.0,313,0,5.3,2400.0,5500.0,6300.0,8971.97,1431.07
env_64_c32_r0,64,closed,32,,,60,2900,17.39,12.0,7.56,14.93,32.0,32.0,0.0,0.0,17.0,0,,285.0,0,0,0,0.0,126,0,2.17,13000.0,16000.0,18000.0,18606.42,2105.43
env_64_c32_r1,64,closed,32,,,60,2901,17.13,12.0,7.6,14.93,32.0,32.0,0.0,0.0,17.0,0,,286.0,0,0,0,0.0,127,0,2.18,12000.0,15000.0,20000.0,20490.98,2082.49
env_64_c32_r2,64,closed,32,,,60,2902,17.14,12.0,7.57,14.93,32.0,32.0,0.0,0.0,17.0,0,,288.0,0,0,0,0.0,127,0,2.17,13000.0,16000.0,18000.0,19611.12,2099.87
env_64_c4_r0,64,closed,4,,,60,2900,15.14,10.0,6.11,12.93,4.0,4.0,0.0,0.0,13.0,0,,670.0,0,0,0,0.0,327,0,5.56,620.0,1200.0,1500.0,1621.68,739.19
env_64_c4_r1,64,closed,4,,,60,2901,15.38,12.0,6.16,14.93,4.0,4.0,0.0,0.0,14.0,0,,678.0,0,0,0,0.0,334,0,5.65,590.0,1200.0,1600.0,1718.67,711.59
env_64_c4_r2,64,closed,4,,,60,2902,15.14,12.0,6.14,14.93,4.0,4.0,0.0,0.0,14.0,0,,660.0,0,0,0,0.0,322,0,5.45,630.0,1200.0,1500.0,1592.31,735.52
env_64_c64_r0,64,closed,64,,,60,2900,18.89,16.0,9.22,18.93,64.0,64.0,0.0,0.0,21.0,0,,246.0,0,0,0,1.0,79,2,1.37,30000.0,38000.0,45000.0,45077.82,3961.82
env_64_c64_r1,64,closed,64,,,60,2901,19.13,16.0,9.19,18.93,64.0,64.0,0.0,0.0,21.0,0,,253.0,0,0,0,0.0,89,2,1.54,30000.0,38000.0,44000.0,44305.35,4114.68
env_64_c64_r2,64,closed,64,,,60,2902,19.14,16.0,9.22,18.93,64.0,64.0,0.0,0.0,20.0,0,,261.0,0,0,0,0.0,93,2,1.61,29000.0,36000.0,44000.0,43970.43,3940.64
env_64_c8_r0,64,closed,8,,,60,2900,15.62,12.0,6.36,14.93,8.0,8.0,0.0,0.0,14.0,0,,678.0,0,0,0,0.0,329,0,5.6,1200.0,2700.0,3100.0,3745.96,1214.37
env_64_c8_r1,64,closed,8,,,60,2901,15.63,12.0,6.34,14.93,8.0,8.0,0.0,0.0,14.0,0,,672.0,0,0,0,0.0,326,0,5.52,1300.0,2500.0,3300.0,3789.89,1184.52
env_64_c8_r2,64,closed,8,,,60,2902,15.62,12.0,6.35,14.93,8.0,8.0,0.0,0.0,14.0,0,,646.0,0,0,0,0.0,311,0,5.27,1300.0,2600.0,3200.0,4454.43,1181.5
env_64_open75_r0,64,open,,75,100,60,2900,21.14,16.0,11.03,18.93,100.0,100.0,0.0,0.0,24.0,0,,277.0,0,0,0,60.0,36,59,1.63,45000.0,45000.0,45000.0,45009.51,4904.65
env_64_open75_r1,64,open,,75,100,60,2901,21.14,16.0,11.01,18.93,100.0,100.0,0.0,0.0,24.0,0,,269.0,0,0,0,95.0,1,97,1.66,45000.0,45000.0,45000.0,45026.81,5057.64
env_64_open75_r2,64,open,,75,100,60,2902,20.88,16.0,11.0,18.93,100.0,100.0,0.0,0.0,24.0,0,,275.0,0,0,0,99.0,1,99,1.7,45000.0,45000.0,45000.0,45012.18,5935.68
env_64_open75rl_r0,64,open,,75,100,60,2900,21.39,16.0,11.22,18.93,100.0,100.0,0.0,0.0,24.0,0,,905.0,0,0,323.0,19.0,65,350,7.05,3.0,45000.0,45000.0,45009.58,3470.3
env_64_open75rl_r1,64,open,,75,100,60,2901,21.62,16.0,11.24,18.93,100.0,100.0,0.0,0.0,25.0,0,,957.0,0,0,353.0,23.0,56,383,7.47,3.0,45000.0,45000.0,45029.36,3702.51
env_64_open75rl_r2,64,open,,75,100,60,2902,21.39,16.0,11.14,18.93,100.0,100.0,0.0,0.0,24.0,0,,1080.0,0,0,408.0,17.0,81,420,8.48,3.0,43000.0,45000.0,45009.48,3165.75
env_nolim_c16_r0,0,closed,16,,,60,2900,15.89,12.0,6.72,14.93,16.0,16.0,0,0,0,0,,657.0,0,0,0,0.0,311,0,5.28,2500.0,5700.0,6200.0,7741.83,1425.21
env_nolim_c16_r1,0,closed,16,,,60,2901,16.14,12.0,6.77,14.93,16.0,16.0,0,0,0,0,,646.0,0,0,0,0.0,309,0,5.27,2500.0,5800.0,6000.0,7300.43,1434.86
env_nolim_c16_r2,0,closed,16,,,60,2902,16.14,12.0,6.76,14.93,16.0,16.0,0,0,0,0,,662.0,0,0,0,0.0,315,0,5.34,2400.0,5700.0,5700.0,6073.8,1434.25
env_nolim_c32_r0,0,closed,32,,,60,2900,17.14,12.0,7.6,14.93,32.0,32.0,0,0,0,0,,283.0,0,0,0,0.0,124,1,2.14,13000.0,17000.0,18000.0,20621.07,2080.35
env_nolim_c32_r1,0,closed,32,,,60,2901,17.14,12.0,7.57,14.93,32.0,32.0,0,0,0,0,,279.0,0,0,0,0.0,123,0,2.11,13000.0,16000.0,20000.0,21031.02,2168.99
env_nolim_c32_r2,0,closed,32,,,60,2902,17.14,12.0,7.57,14.93,32.0,32.0,0,0,0,0,,285.0,0,0,0,0.0,124,0,2.1,14000.0,17000.0,21000.0,23697.41,2082.21
env_nolim_c4_r0,0,closed,4,,,60,2900,15.39,10.0,6.12,12.93,4.0,4.0,0,0,0,0,,626.0,0,0,0,0.0,306,0,5.18,690.0,1200.0,1500.0,1622.24,732.36
env_nolim_c4_r1,0,closed,4,,,60,2901,15.14,10.0,6.12,12.93,4.0,4.0,0,0,0,0,,674.0,0,0,0,0.0,327,0,5.56,610.0,1200.0,1500.0,1553.32,722.02
env_nolim_c4_r2,0,closed,4,,,60,2902,15.14,10.0,6.12,12.93,4.0,4.0,0,0,0,0,,696.0,0,0,0,0.0,343,0,5.81,570.0,1200.0,1500.0,1579.47,769.18
env_nolim_c64_r0,0,closed,64,,,60,2900,19.39,16.0,9.24,18.93,64.0,64.0,0,0,0,0,,265.0,0,0,0,0.0,89,4,1.58,29000.0,36000.0,37000.0,36593.17,4044.02
env_nolim_c64_r1,0,closed,64,,,60,2901,19.38,16.0,9.18,18.93,64.0,64.0,0,0,0,0,,288.0,0,0,0,0.0,108,3,1.88,28000.0,32000.0,38000.0,41058.83,4124.84
env_nolim_c64_r2,0,closed,64,,,60,2902,19.14,16.0,9.2,18.93,64.0,64.0,0,0,0,0,,285.0,0,0,0,0.0,103,3,1.8,29000.0,36000.0,39000.0,39267.64,4138.57
env_nolim_c8_r0,0,closed,8,,,60,2900,15.39,12.0,6.33,14.93,8.0,8.0,0,0,0,0,,652.0,0,0,0,0.0,316,0,5.35,1200.0,2600.0,3200.0,4229.1,1192.82
env_nolim_c8_r1,0,closed,8,,,60,2901,15.64,12.0,6.31,14.93,8.0,8.0,0,0,0,0,,660.0,0,0,0,0.0,319,0,5.41,1200.0,2600.0,3000.0,3128.42,1151.14
env_nolim_c8_r2,0,closed,8,,,60,2902,15.64,12.0,6.35,14.93,8.0,8.0,0,0,0,0,,627.0,0,0,0,0.0,301,0,5.12,1300.0,2700.0,3200.0,4422.26,1215.39
env_nolim_open75_r0,0,open,,75,100,60,2900,21.14,16.0,11.02,18.93,100.0,100.0,0,0,0,0,,291.0,0,0,0,89.0,9,89,1.66,45000.0,45000.0,45000.0,45011.75,5754.87
env_nolim_open75_r1,0,open,,75,100,60,2901,21.13,16.0,11.04,18.93,100.0,100.0,0,0,0,0,,267.0,0,0,0,98.0,0,99,1.68,45000.0,45000.0,45000.0,45014.79,5226.43
env_nolim_open75_r2,0,open,,75,100,60,2902,20.89,16.0,11.01,18.93,100.0,100.0,0,0,0,0,,274.0,0,0,0,99.0,0,99,1.7,45000.0,45000.0,45000.0,45012.03,5602.81
env_nolim_open75rl_r0,0,open,,75,100,60,2900,21.38,16.0,11.15,18.93,100.0,100.0,0,0,0,0,,844.0,0,0,298.0,32.0,48,332,6.48,4.0,45000.0,45000.0,45014.49,3439.66
env_nolim_open75rl_r1,0,open,,75,100,60,2901,21.37,16.0,11.24,18.93,100.0,100.0,0,0,0,0,,1088.0,0,0,411.0,11.0,88,419,8.62,3.0,43000.0,45000.0,45007.88,3799.08
env_nolim_open75rl_r2,0,open,,75,100,60,2902,21.38,16.0,11.11,18.93,100.0,100.0,0,0,0,0,,729.0,0,0,267.0,52.0,5,324,5.57,5.0,45000.0,45000.0,45032.12,4229.51
