name,mode,c,rate,users,dur,limit_mib,gomemlimit,config,seed,peak_mib,oom_kills,kratos_exit,signups_ok,signup_fail,signup_rps,signup_mean_ms,signup_p50_ms,signup_p95_ms,signup_p99_ms,signup_max_ms,requests,failures
closed_c16_r2,closed,16,,,20,12288,,kratos.local.yml,102,3650.8,0,,13,0,0.6929363825865186,13532.524503230767,14000.0,18000.0,18000.0,17877.14746500001,42,0
open_r20_r0,open,,20,120,20,4096,,kratos.local.yml,200,4096.0,1,-9,0,1,0.05350559952155123,5943.000765000079,5900.0,5900.0,5900.0,5943.000765000079,101,1
open_r4_r0,open,,4,24,20,4096,,kratos.local.yml,200,2828.7,0,,40,0,2.112749585086862,5910.291861850006,6700.0,13000.0,14000.0,14377.301179999904,82,0
open_r4_r1,open,,4,24,20,4096,,kratos.local.yml,201,2418.6,0,,59,0,3.0545078287459275,3029.3624122372944,1900.0,9600.0,12000.0,12235.71938400005,118,0
open_r30_r1,open,,30,180,20,4096,,kratos.local.yml,201,4096.0,1,-9,0,154,7.700504150018595,12587.97246298052,14000.0,20000.0,20000.0,19841.529279000042,332,178
closed_c32_r2,closed,32,,,20,12288,,kratos.local.yml,102,4098.7,0,,0,0,,,,,,,32,0
gml1536MiB_c1_r1,closed,1,,,20,12288,1536MiB,kratos.local.yml,301,444.4,0,,105,0,5.252184494936804,186.90517895238597,170.0,220.0,630.0,639.2593059999854,211,0
open_r6_r2,open,,6,36,20,4096,,kratos.local.yml,202,3438.9,0,,22,2,1.2781931790754768,9585.114388916661,10000.0,17000.0,18000.0,18285.06724600015,68,2
gml768MiB_c4_r1,closed,4,,,20,12288,768MiB,kratos.local.yml,301,894.8,0,,110,0,5.913437618677695,647.3904628363553,510.0,2000.0,2400.0,2699.8726750000515,224,0
open_r8_r2,open,,8,48,20,4096,,kratos.local.yml,202,3913.1,0,,2,6,0.42444859203635704,12810.654884750022,14000.0,16000.0,16000.0,15854.753371000015,55,6
open_r6_r0,open,,6,36,20,4096,,kratos.local.yml,200,3846.1,0,,6,4,0.543744362739617,11015.102708200016,13000.0,16000.0,16000.0,15930.702803000031,49,4
open_r15_r1,open,,15,90,20,4096,,kratos.local.yml,201,4096.0,1,-9,0,3,0.16621907983813322,11313.183813333279,10000.0,14000.0,14000.0,14430.043138999963,81,3
gml768MiB_c2_r2,closed,2,,,20,12288,768MiB,kratos.local.yml,302,730.3,0,,112,0,5.909122926001364,330.53879003570745,280.0,830.0,1200.0,1172.860657000001,226,0
gml1536MiB_c4_r2,closed,4,,,20,12288,1536MiB,kratos.local.yml,302,1251.2,0,,95,0,4.999735620324184,759.3590145263076,520.0,1900.0,3900.0,3922.7328610002132,194,0
open_r75_r0,open,,75,450,20,4096,,kratos.local.yml,200,4096.0,1,-9,0,258,12.909589307538772,12401.286537228685,15000.0,18000.0,19000.0,18701.489634999918,781,523
closed_c8_r1,closed,8,,,20,12288,,kratos.local.yml,101,2052.9,0,,76,0,4.03095281932791,1832.238119763151,1400.0,4900.0,5500.0,5488.374689000011,160,0
closed_c2_r2,closed,2,,,20,12288,,kratos.local.yml,102,716.1,0,,112,0,5.931947239185978,331.1268179285797,280.0,800.0,1200.0,1176.9108109999706,226,0
open_r50_r0,open,,50,300,20,4096,,kratos.local.yml,200,4096.0,1,-9,0,206,10.314541367187099,10893.359406980591,12000.0,18000.0,19000.0,18667.805844999973,556,350
closed_c8_r2,closed,8,,,20,12288,,kratos.local.yml,102,2043.3,0,,66,0,3.479641167555448,2092.21785174242,1500.0,4800.0,5900.0,5947.746138999946,139,0
closed_c16_r1,closed,16,,,20,12288,,kratos.local.yml,101,3348.0,0,,33,0,1.7562997048137627,7877.7713559090835,8900.0,11000.0,15000.0,14554.195344999926,80,0
gml1536MiB_c16_r2,closed,16,,,20,12288,1536MiB,kratos.local.yml,302,2066.4,0,,36,0,1.9239406886562187,7476.5460547777475,7800.0,11000.0,11000.0,11191.875054999855,87,0
gml768MiB_c32_r0,closed,32,,,20,12288,768MiB,kratos.local.yml,300,4039.5,0,,0,0,,,,,,,32,0
gml768MiB_c1_r0,closed,1,,,20,12288,768MiB,kratos.local.yml,300,448.6,0,,98,0,5.175096858583603,189.7044075816485,170.0,200.0,650.0,652.008030999923,197,0
gml768MiB_c4_r2,closed,4,,,20,12288,768MiB,kratos.local.yml,302,869.9,0,,102,0,5.398134107692685,715.1789272450993,530.0,1700.0,2400.0,2444.6030870001323,208,0
gml768MiB_c32_r1,closed,32,,,20,12288,768MiB,kratos.local.yml,301,3988.2,0,,0,0,,,,,,,32,0
closed_c12_r0,closed,12,,,20,12288,,kratos.local.yml,100,2165.1,0,,79,0,4.183702550694799,2581.474663113928,1600.0,7700.0,8700.0,8697.309389999873,170,0
open_r50_r1,open,,50,300,20,4096,,kratos.local.yml,201,4096.0,1,-9,0,240,12.002588782773575,9986.421912225,9000.0,17000.0,18000.0,18066.060014999948,628,388
